start,end,tournament,round,round_match_number,player1,player2,deck1,deck2,map,victor,victory,format,unknown_order,recorder,notes
2020-11-23,2020-12-03,XCAFS20,8,2,EricF,charnel_mouse,[PastF20]/PeaceF20/TruthF20,[BalanceF20]/BloodF20/StrengthF20,,EricF,normal,forum,,charnel_mouse,
2020-12-04,2020-12-11,XCAFS20,9,1,EricF,bansa,[PastF20]/PeaceF20/TruthF20,[LawF20/PeaceF20]/FinesseF20,,bansa,normal,forum,,charnel_mouse,
2021-01-05,2021-01-08,CAWS20,1,1,Bomber678,Steve44,[Finesse]/Anarchy/Strength,[Disease/Necromancy]/Discipline,,Bomber678,normal,forum,,charnel_mouse,
2021-01-04,2021-01-12,CAWS20,1,2,bansa,Nopethebard,[Finesse]/Blood/Fire,MonoRed,,bansa,normal,forum,,charnel_mouse,
2021-01-04,2021-01-09,CAWS20,1,3,Unity,CarpeGuitarrem,[Future/Present]/Peace,MonoRed,,Unity,normal,forum,,charnel_mouse,
2021-01-04,2021-01-06,CAWS20,1,4,Nekoatl,zhavier,[Demonology/Disease]/Truth,[Blood]/Feral/Strength,,zhavier,normal,forum,,charnel_mouse,
2021-01-04,2021-01-06,CAWS20,1,5,FrozenStorm,hardy83,Nightmare,[Discipline]/Anarchy/Finesse,,FrozenStorm,normal,forum,,charnel_mouse,
2021-01-04,2021-01-14,CAWS20,1,6,charnel_mouse,EricF,[Demonology/Disease]/Discipline,[Demonology/Necromancy]/Bashing,,charnel_mouse,normal,forum,,charnel_mouse,"EricF drops, but from a very bad early position, FrozenStorm counted it as a win rather than a bye so I will too"
2021-01-13,2021-01-17,CAWS20,2,1,Bomber678,Unity,[Finesse]/Anarchy/Strength,[Future/Present]/Peace,,Bomber678,normal,forum,,charnel_mouse,
2021-01-12,2021-01-18,CAWS20,2,2,zhavier,FrozenStorm,[Blood]/Feral/Strength,Nightmare,,zhavier,normal,forum,,charnel_mouse,
2021-01-13,2021-01-20,CAWS20,2,4,Steve44,Nopethebard,[Disease/Necromancy]/Discipline,MonoRed,,Steve44,normal,forum,,charnel_mouse,"Forfeit after spreadsheet error, but from a bad position"
2021-01-14,2021-01-19,CAWS20,2,5,CarpeGuitarrem,charnel_mouse,MonoRed,[Demonology/Disease]/Discipline,,CarpeGuitarrem,normal,forum,,charnel_mouse,
2021-01-12,2021-01-15,CAWS20,2,6,hardy83,Nekoatl,[Discipline]/Anarchy/Finesse,[Demonology/Disease]/Truth,,hardy83,normal,forum,,charnel_mouse,
2021-01-21,2021-01-26,CAWS20,3,1,zhavier,Bomber678,[Blood]/Feral/Strength,[Finesse]/Anarchy/Strength,,Bomber678,normal,forum,,charnel_mouse,
2021-01-20,2021-01-24,CAWS20,3,2,charnel_mouse,Unity,[Demonology/Disease]/Discipline,[Future/Present]/Peace,,charnel_mouse,normal,forum,,charnel_mouse,
